INFO 2025-03-10 11:29:29,648 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/pygments/style.py first seen with mtime 1737952981.9819372
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/coreschema/schemas.py first seen with mtime 1737433108.8369944
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_payment/orderinfo.py first seen with mtime 1737433109.0541763
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/templatetags/tz.py first seen with mtime 1741546736.842535
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/packaging/markers.py first seen with mtime 1720101884.5414257
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/utils/datastructures.py first seen with mtime 1741546736.844806
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/plistlib.py first seen with mtime 1733935668.6610806
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/weakref.py first seen with mtime 1733935668.9382799
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_replykeyboardremove.py first seen with mtime 1737433109.0455368
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/ast.py first seen with mtime 1733935668.3252876
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/drf_spectacular/contrib/__init__.py first seen with mtime 1737433109.2866883
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/Desktop/ailaq_me/ailaq/admin.py first seen with mtime 1741547028.4900882
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/lzma.py first seen with mtime 1733935668.5691829
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/rest_framework/fields.py first seen with mtime 1737622563.8462849
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_bot.py first seen with mtime 1737433109.0403125
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_chatlocation.py first seen with mtime 1737433109.0419137
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/rich/default_styles.py first seen with mtime 1738003396.1435845
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_webappdata.py first seen with mtime 1737433109.0465689
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/views/decorators/debug.py first seen with mtime 1741546736.849039
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/rich/_extension.py first seen with mtime 1738003396.1411953
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/cryptography/hazmat/decrepit/ciphers/algorithms.py first seen with mtime 1732130249.3870733
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/httpcore/_sync/http_proxy.py first seen with mtime 1737433107.9128966
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/contrib/__init__.py first seen with mtime 1741546736.4878623
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/utils/timesince.py first seen with mtime 1741546736.8472471
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/asyncio/selector_events.py first seen with mtime 1733935669.075486
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/jinja2/loaders.py first seen with mtime 1730902854.890283
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/rest_framework/status.py first seen with mtime 1737622563.8490689
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/forms/renderers.py first seen with mtime 1741546736.8321266
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/psycopg/types/composite.py first seen with mtime 1737620296.4515553
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/urllib3/_collections.py first seen with mtime 1727769978.130242
